ICD10CMCode,TotalDiag,,
S82.871K,0,0,7
S82.871N,0,0,1
S82.871P,0,0,4
S82.871S,0,0,4
S82.872C,0,0,5
S82.872E,0,0,3
S82.872G,0,0,7
S82.872J,0,0,1
S82.872M,0,0,4
S82.872Q,0,0,1
S82.872R,0,0,1
S82.872S,0,0,10
S82.874K,0,0,1
S82.875S,0,0,1
S82.891C,0,0,1
S82.891F,0,0,2
S82.891H,0,0,2
S82.891M,0,0,1
S82.892J,0,0,1
S82.892M,0,0,1
S82.899M,0,0,1
S83.011S,0,0,1
S83.014S,0,0,1
S83.015S,0,0,1
S83.094D,0,0,1
S83.104S,0,0,1
S83.105S,0,0,1
S83.144A,0,0,1
S83.191S,0,0,1
S83.195D,0,0,2
S83.195S,0,0,1
S83.211D,0,0,25
S83.211S,0,0,1
S83.212S,0,0,2
S83.219D,0,0,2
S83.221D,0,0,6
S83.222D,0,0,6
S83.229A,0,0,2
S83.231D,0,0,39
S83.231S,0,0,4
S83.241S,0,0,67
S83.249D,0,0,8
S83.249S,0,0,3
S83.251S,0,0,1
S83.259A,0,0,6
S83.261D,0,0,4
S83.262D,0,0,5
S83.269A,0,0,4
S83.271D,0,0,16
S83.279A,0,0,13
S83.289A,0,0,137
S83.289D,0,0,5
S83.30XS,0,0,1
S83.31XD,0,0,1
S83.419D,0,0,4
S83.519S,0,0,2
S83.521S,0,0,1
S83.529A,0,0,4
S84.11XD,0,0,1
S84.22XA,0,0,1
S84.802S,0,0,1
S85.001A,0,0,1
S85.001S,0,0,1
S85.002S,0,0,1
S85.092A,0,0,1
S85.111A,0,0,1
S85.122A,0,0,1
S85.152A,0,0,1
S85.171A,0,0,1
S85.182A,0,0,1
S85.291A,0,0,1
S85.312A,0,0,1
S85.892S,0,0,1
S86.019S,0,0,1
S86.021S,0,0,1
S86.102S,0,0,1
S86.221S,0,0,1
S86.292A,0,0,2
S86.301D,0,0,1
S86.309A,0,0,3
S86.311D,0,0,16
S86.311S,0,0,11
S86.312S,0,0,5
S86.319D,0,0,2
S86.319S,0,0,1
S86.329A,0,0,1
S86.391D,0,0,1
S86.391S,0,0,2
S86.392A,0,0,18
S86.392S,0,0,5
S86.802D,0,0,1
S87.01XS,0,0,1
S87.80XS,0,0,1
S87.82XS,0,0,4
S88.111A,0,0,1
S88.919S,0,0,1
S89.001K,0,0,1
S89.029A,0,0,1
S89.041D,0,0,1
S89.041S,0,0,1
S89.101P,0,0,1
S89.102S,0,0,1
S89.121K,0,0,1
S89.122P,0,0,1
S89.122S,0,0,2
S89.132S,0,0,2
S89.141S,0,0,2
S89.142S,0,0,2
S89.221D,0,0,1
S89.301K,0,0,1
S89.301P,0,0,1
S90.454S,0,0,1
S90.455S,0,0,1
S90.511S,0,0,1
S90.931S,0,0,1
S91.011S,0,0,2
S91.142S,0,0,3
S91.204S,0,0,1
S91.221D,0,0,1
S91.321S,0,0,3
S92.009B,0,0,1
S92.011G,0,0,1
S92.011P,0,0,1
S92.012S,0,0,1
S92.021K,0,0,9
S92.022K,0,0,4
S92.024B,0,0,1
S92.024K,0,0,1
S92.025S,0,0,1
S92.031D,0,0,1
S92.032B,0,0,1
S92.032D,0,0,1
S92.032G,0,0,1
S92.032S,0,0,1
S92.042B,0,0,1
S92.052D,0,0,1
S92.061B,0,0,2
S92.061P,0,0,1
S92.062G,0,0,1
S92.062P,0,0,2
S92.065G,0,0,1
S92.101K,0,0,6
S92.101P,0,0,1
S92.109K,0,0,1
S92.109S,0,0,1
S92.111K,0,0,1
S92.111P,0,0,3
S92.112S,0,0,1
S92.121K,0,0,1
S92.123D,0,0,1
S92.131K,0,0,6
S92.131S,0,0,2
S92.141K,0,0,3
S92.141S,0,0,1
S92.142K,0,0,5
S92.143D,0,0,1
S92.144K,0,0,1
S92.144S,0,0,3
S92.145K,0,0,1
S92.146A,0,0,1
S92.151K,0,0,1
S92.151S,0,0,1
S92.191P,0,0,1
S92.191S,0,0,1
S92.192K,0,0,2
S92.201G,0,0,1
S92.201K,0,0,2
S92.202K,0,0,3
S92.202P,0,0,1
S92.202S,0,0,3
S92.211K,0,0,4
S92.211S,0,0,1
S92.222K,0,0,1
S92.222S,0,0,2
S92.223A,0,0,1
S92.225K,0,0,1
S92.231D,0,0,1
S92.232S,0,0,1
S92.241K,0,0,2
S92.242K,0,0,2
S92.242S,0,0,1
S92.243D,0,0,1
S92.246A,0,0,1
S92.251K,0,0,9
S92.254G,0,0,1
S92.254K,0,0,1
S92.255B,0,0,1
S92.255K,0,0,1
S92.301P,0,0,1
S92.309G,0,0,1
S92.311K,0,0,13
S92.312P,0,0,3
S92.314K,0,0,1
S92.314P,0,0,2
S92.315K,0,0,1
S92.315P,0,0,1
S92.322P,0,0,4
S92.323B,0,0,1
S92.325K,0,0,1
S92.332P,0,0,2
S92.334K,0,0,1
S92.335G,0,0,1
S92.335K,0,0,1
S92.341K,0,0,4
S92.342P,0,0,1
S92.344K,0,0,2
S92.354S,0,0,1
S92.355K,0,0,5
S92.401P,0,0,4
S92.402P,0,0,1
S92.404K,0,0,1
S92.411G,0,0,3
S92.412K,0,0,3
S92.412P,0,0,3
S92.414K,0,0,1
S92.415K,0,0,1
S92.415P,0,0,1
S92.422P,0,0,2
S92.491K,0,0,3
S92.491P,0,0,1
S92.492K,0,0,3
S92.521P,0,0,1
S92.522K,0,0,1
S92.522P,0,0,1
S92.524K,0,0,1
S92.531P,0,0,2
S92.532K,0,0,2
S92.532P,0,0,1
S92.592S,0,0,1
S92.811K,0,0,2
S92.812K,0,0,1
S92.812P,0,0,1
S92.812S,0,0,1
S92.819G,0,0,1
S92.819S,0,0,1
S92.911P,0,0,2
S93.01XD,0,0,5
S93.04XS,0,0,7
S93.05XS,0,0,2
S93.104S,0,0,1
S93.105S,0,0,2
S93.106S,0,0,1
S93.114D,0,0,1
S93.124D,0,0,13
S93.124S,0,0,3
S93.125S,0,0,2
S93.129D,0,0,4
S93.129S,0,0,2
S93.135S,0,0,2
S93.141A,0,0,9
S93.142D,0,0,1
S93.144D,0,0,3
S93.145D,0,0,4
S93.149S,0,0,1
S93.301S,0,0,1
S93.304S,0,0,1
S93.306A,0,0,1
S93.312D,0,0,3
S93.312S,0,0,1
S93.315D,0,0,6
S93.322D,0,0,2
S93.325S,0,0,8
S93.326D,0,0,3
S93.331S,0,0,1
S93.411S,0,0,1
S93.412S,0,0,1
S93.421S,0,0,2
S93.439D,0,0,2
S93.509S,0,0,1
S93.525D,0,0,1
S93.529D,0,0,1
S93.529S,0,0,1
S93.622D,0,0,2
S93.622S,0,0,2
S93.692S,0,0,2
S94.11XA,0,0,1
S94.12XA,0,0,2
S94.21XS,0,0,1
S94.32XD,0,0,1
S94.8X2S,0,0,1
S94.91XS,0,0,2
S95.902D,0,0,1
S96.012D,0,0,1
S96.112S,0,0,1
S96.192D,0,0,1
S96.221A,0,0,2
S96.291A,0,0,1
S96.292S,0,0,1
S96.811S,0,0,6
S96.812S,0,0,7
S96.821D,0,0,2
S96.822S,0,0,1
S96.829A,0,0,1
S96.919D,0,0,1
S97.01XS,0,0,1
S98.122S,0,0,1
S98.312A,0,0,2
S98.321A,0,0,1
S98.921S,0,0,1
S99.001S,0,0,1
S99.041A,0,0,1
S99.192S,0,0,1
S99.212B,0,0,1
S99.812S,0,0,2
